GEO_ID,NAME,S1902_C01_001E,S1902_C01_001M,S1902_C02_001E,S1902_C02_001M,S1902_C01_002E,S1902_C01_002M,S1902_C02_002E,S1902_C02_002M,S1902_C01_003E,S1902_C01_003M,S1902_C02_003E,S1902_C02_003M,S1902_C01_004E,S1902_C01_004M,S1902_C02_004E,S1902_C02_004M,S1902_C01_005E,S1902_C01_005M,S1902_C02_005E,S1902_C02_005M,S1902_C01_006E,S1902_C01_006M,S1902_C02_006E,S1902_C02_006M,S1902_C01_007E,S1902_C01_007M,S1902_C02_007E,S1902_C02_007M,S1902_C01_008E,S1902_C01_008M,S1902_C02_008E,S1902_C02_008M,S1902_C01_009E,S1902_C01_009M,S1902_C02_009E,S1902_C02_009M,S1902_C01_010E,S1902_C01_010M,S1902_C02_010E,S1902_C02_010M,S1902_C01_011E,S1902_C01_011M,S1902_C02_011E,S1902_C02_011M,S1902_C01_012E,S1902_C01_012M,S1902_C02_012E,S1902_C02_012M,S1902_C01_013E,S1902_C01_013M,S1902_C02_013E,S1902_C02_013M,S1902_C01_014E,S1902_C01_014M,S1902_C02_014E,S1902_C02_014M,S1902_C01_015E,S1902_C01_015M,S1902_C02_015E,S1902_C02_015M,S1902_C01_016E,S1902_C01_016M,S1902_C02_016E,S1902_C02_016M,S1902_C01_017E,S1902_C01_017M,S1902_C02_017E,S1902_C02_017M,S1902_C01_018E,S1902_C01_018M,S1902_C02_018E,S1902_C02_018M,S1902_C01_019E,S1902_C01_019M,S1902_C02_019E,S1902_C02_019M,S1902_C01_020E,S1902_C01_020M,S1902_C02_020E,S1902_C02_020M,S1902_C01_021E,S1902_C01_021M,S1902_C02_021E,S1902_C02_021M,S1902_C01_022E,S1902_C01_022M,S1902_C02_022E,S1902_C02_022M,S1902_C01_023E,S1902_C01_023M,S1902_C02_023E,S1902_C02_023M,S1902_C01_024E,S1902_C01_024M,S1902_C02_024E,S1902_C02_024M,S1902_C01_025E,S1902_C01_025M,S1902_C02_025E,S1902_C02_025M,S1902_C01_026E,S1902_C01_026M,S1902_C02_026E,S1902_C02_026M,S1902_C01_027E,S1902_C01_027M,S1902_C02_027E,S1902_C02_027M
1400000US17063000200,"Census Tract 2, Grundy County, Illinois",2285,161,86980,8699,82,3.7,85093,8619,25,5.1,17410,9724,27.9,4.2,21158,2708,1.2,1.1,13244,6120,1.8,1.5,3595,1390,17.2,3.9,22397,4449,1680,141,98591,10089,13.1,4.3,66267,24795,33.9,6.4,82673,11754,29.6,7.6,129853,25164,10.6,6.1,83074,10507,7.7,4.2,134017,23075,5.1,4,84560,17434,6644,192,31299,3119,94.4,2.8,30309,2430,2.8,2.2,23914,21690,0,0.4,-,**,1.2,1,151561,91791,0,0.4,-,**,1.5,1.9,9734,6978,0,0.1,-,**,7.5,2.6,17712,8144,88.4,3.6,31017,2529,27.8,(X),(X),(X),30.8,(X),(X),(X),24,(X),(X),(X)
1400000US17063000300,"Census Tract 3, Grundy County, Illinois",1238,133,62079,12056,78.7,4.4,64644,15773,22.2,6.9,3981,1824,23.5,4,20378,2514,3,2.5,7638,3221,1.4,1.8,1176,274,18,5,17044,8569,908,113,66842,16561,13.4,5,43448,15725,29.6,9,80699,54110,31.7,10.2,68643,10298,13.7,7.4,57148,19437,11.6,6.4,65034,17429,0,3.2,-,**,3434,325,23257,4377,94.3,7.2,23989,4576,0,0.9,-,**,0,0.9,-,**,0,0.9,-,**,0,0.9,-,**,5.7,7.2,11153,7918,0,0.9,-,**,22.9,8.8,12092,4652,77.1,8.8,26576,5455,22.9,(X),(X),(X),23.8,(X),(X),(X),16.3,(X),(X),(X)
1400000US17063000400,"Census Tract 4, Grundy County, Illinois",2269,164,73130,8134,69.4,5.8,80934,11097,21.1,4.7,18203,12806,36.8,5.5,16491,2150,7.7,4.1,7158,2476,2,1.7,8722,4770,20.6,5.1,25129,7633,1137,133,102805,13756,17.8,7.9,43972,21481,29.2,7.4,84197,17720,28.6,9.5,125314,25882,12.5,8.2,124580,38341,12,5.1,159093,27932,0,2.6,-,**,5319,311,32572,3548,96.1,2.4,32631,3699,0.7,0.8,7995,4053,0,0.6,-,**,0.5,0.7,N,N,0,0.6,-,**,1.9,1.7,25784,17611,0.8,0.9,N,N,6.6,3.2,18872,8313,91.9,3.6,33633,3803,26.4,(X),(X),(X),25.5,(X),(X),(X),24.3,(X),(X),(X)
1400000US17063000500,"Census Tract 5, Grundy County, Illinois",976,81,92597,13213,74.7,6.2,93294,12699,40.5,8.1,7015,2923,33.8,5.4,20273,1759,3.6,3,10743,4926,0.7,1.3,2414,24,24.7,6,46591,14274,778,67,106852,15370,19,5.1,N,N,23.3,8.2,N,N,29.7,9.5,N,N,7.3,4.6,N,N,19.8,7.3,N,N,0.9,1.4,N,N,2818,225,32725,3527,96.9,2.3,33671,3546,0.2,0.2,N,N,0,1.1,-,**,0,1.1,-,**,0,1.1,-,**,0.3,0.6,N,N,2.6,2.2,1311,1210,5.4,5.4,49958,32009,91.8,5.7,32652,2799,25,(X),(X),(X),19.3,(X),(X),(X),18.3,(X),(X),(X)
1400000US17063000600,"Census Tract 6, Grundy County, Illinois",1027,79,74602,7724,77,5,79158,9428,17.3,3.9,6831,2079,32.5,4.3,20381,1907,0.6,0.7,7467,3475,1.5,1.5,4800,2473,20.4,4.2,19871,3065,789,80,83310,9305,17.5,5.2,33713,6873,27.6,6.6,58530,11986,35.1,5.9,116739,12007,10.4,5.5,75154,10951,8.1,3.3,136597,32701,1.3,1.1,107810,36067,2860,221,27519,2775,97.1,2.4,28026,2849,0,1,-,**,0,1,-,**,0.3,0.4,N,N,0,1,-,**,0.4,0.5,N,N,2.2,2.3,8740,6801,7.2,5.3,9235,4632,90.3,5.6,29447,2804,32.7,(X),(X),(X),32.7,(X),(X),(X),23.4,(X),(X),(X)
1400000US17063000700,"Census Tract 7, Grundy County, Illinois",2550,141,72206,9318,72.4,5.4,73292,12740,23.1,4.3,13481,6478,34.4,4.5,19299,1752,5.8,3.6,7741,1711,2.6,2,2452,1051,26.7,5.1,23130,4668,1814,120,82532,12062,23.6,6,47908,9446,28.9,6.9,70018,33370,30.4,6.4,114799,15805,6.7,3.6,62456,23352,7.8,3.4,121099,19613,2.6,3.3,93994,14363,6259,283,30121,3926,96.1,2.5,31002,4088,1.3,2.2,N,N,0,0.5,-,**,1.2,1.1,4450,7686,0,0.5,-,**,0.9,1.2,15118,6411,0.5,0.4,17410,4898,3.5,1.9,9199,4609,93.5,3.1,31677,4119,26.7,(X),(X),(X),20.5,(X),(X),(X),18.8,(X),(X),(X)
1400000US17063000800,"Census Tract 8, Grundy County, Illinois",1835,109,75683,4594,83.1,3.2,78336,5222,20.7,4.9,2749,884,22,3.3,17582,1672,2.8,1.9,13167,4557,2.2,1.6,1910,1100,17.6,3.5,18873,3670,1230,92,88382,6311,6.4,2.6,48358,8488,32.9,5.8,58009,7314,35.9,5.7,111173,10223,8.5,4.2,64388,18009,13.5,4.4,134628,19018,2.7,3,95409,16994,5370,156,26813,1723,94.4,3.1,27681,1739,1.1,1.5,N,N,0.1,0.1,-,**,0.2,0.3,N,N,0,0.6,-,**,0.1,0.1,N,N,4.1,1.9,10366,5438,6.4,3.2,25612,7689,88.3,3.6,27814,1828,21.5,(X),(X),(X),21.8,(X),(X),(X),19,(X),(X),(X)
1400000US17063000900,"Census Tract 9, Grundy County, Illinois",1429,83,68509,6277,79.6,3.3,65661,6126,19,3,17817,16083,31.9,3.4,17858,1175,2.7,1.3,8829,1695,1,0.6,2400,948,22,3.5,23353,2737,969,76,78195,8855,13.5,2.9,41371,5400,39.1,6.2,59875,8125,27.7,4.5,114315,26985,10.2,2.7,76885,15381,6.3,2.6,116121,14315,3.2,1.9,75071,18876,3773,215,26693,2499,96.5,1.3,27462,2579,0.1,0.1,-,**,0.1,0.1,N,N,0.3,0.3,N,N,0,0.8,-,**,0.5,0.4,7779,10921,2.4,1,4688,3045,4.4,2.1,10950,5418,93.1,2.4,27990,2677,27.3,(X),(X),(X),28.7,(X),(X),(X),19.5,(X),(X),(X)
1400000US17065973100,"Census Tract 9731, Hamilton County, Illinois",1452,124,43181,6260,61.1,7.2,42196,7767,27.2,6.3,12712,7836,46.9,6.5,15143,1638,7.2,4.8,11108,3753,1.9,2.1,578,507,28,7.2,17858,6197,773,121,61166,9148,18.9,6.7,N,N,45.5,10.5,N,N,24.5,12.2,N,N,7.2,7.9,N,N,3.9,6,N,N,0,3.8,N,N,2959,243,20996,2910,96,2.9,21198,3003,1.5,1.5,17498,9692,1,1.4,N,N,0,1,-,**,0,1,-,**,0,1,-,**,1.5,1.1,N,N,2.4,1.6,9353,1657,95.9,2.9,21211,3004,33.8,(X),(X),(X),33.8,(X),(X),(X),26.1,(X),(X),(X)
1400000US17065973200,"Census Tract 9732, Hamilton County, Illinois",936,95,57172,9156,71.6,8.2,58515,11754,21,7.4,16327,10731,38.7,9.2,16751,2533,4.9,4,8515,752,1,1.2,2600,1950,23.3,8.4,13956,5579,776,101,61415,10703,22.9,8.9,N,N,36.7,11.3,N,N,24.2,9.1,N,N,8.4,5.8,N,N,6.4,4.4,N,N,1.3,2.3,N,N,2704,296,20313,3241,98.8,1.4,20556,3264,0.9,1.3,N,N,0,1.1,-,**,0,1.1,-,**,0,1.1,-,**,0,1.1,-,**,0.3,0.5,-,**,0.6,1.2,N,N,98.2,1.8,20666,3312,36.1,(X),(X),(X),37.1,(X),(X),(X),26,(X),(X),(X)
